  1.00000000    0.00000000
  0.97777778   -0.06829932
  0.95555556   -0.12223672
  0.93333333   -0.16356407
  0.91111111   -0.19389359
  0.88888889   -0.21470447
  0.86666667   -0.22734925
  0.84444444   -0.23306017
  0.82222222   -0.23295539
  0.80000000   -0.22804511
  0.77777778   -0.21923760
  0.75555556   -0.20734506
  0.73333333   -0.19308946
  0.71111111   -0.17710817
  0.68888889   -0.15995952
  0.66666667   -0.14212827
  0.64444444   -0.12403090
  0.62222222   -0.10602082
  0.60000000   -0.08839341
  0.57777778   -0.07139101
  0.55555556   -0.05520765
  0.53333333   -0.03999379
  0.51111111   -0.02586084
  0.48888889   -0.01288550
  0.46666667   -0.00111409
  0.44444444    0.00943343
  0.42222222    0.01875944
  0.40000000    0.02688491
  0.37777778    0.03384576
  0.35555556    0.03968932
  0.33333333    0.04447108
  0.31111111    0.04825145
  0.28888889    0.05109275
  0.26666667    0.05305627
  0.24444444    0.05419949
  0.22222222    0.05457322
  0.20000000    0.05421876
  0.17777778    0.05316468
  0.15555556    0.05142289
  0.13333333    0.04898322
  0.11111111    0.04580445
  0.08888889    0.04179741
  0.06666667    0.03678694
  0.04444444    0.03040622
  0.02222222    0.02167480
  0.00000000    0.00000000
  0.00000000    0.00000000
  0.02222222   -0.02847120
  0.04444444   -0.04170417
  0.06666667   -0.05681088
  0.08888889   -0.07576127
  0.11111111   -0.09897145
  0.13333333   -0.12619989
  0.15555556   -0.15685408
  0.17777778   -0.19014303
  0.20000000   -0.22516912
  0.22222222   -0.26098977
  0.24444444   -0.29666177
  0.26666667   -0.33127412
  0.28888889   -0.36397304
  0.31111111   -0.39398100
  0.33333333   -0.42061103
  0.35555556   -0.44327735
  0.37777778   -0.46150276
  0.40000000   -0.47492328
  0.42222222   -0.48329054
  0.44444444   -0.48647192
  0.46666667   -0.48444891
  0.48888889   -0.47731367
  0.51111111   -0.46526404
  0.53333333   -0.44859712
  0.55555556   -0.42770142
  0.57777778   -0.40304780
  0.60000000   -0.37517916
  0.62222222   -0.34469906
  0.64444444   -0.31225916
  0.66666667   -0.27854576
  0.68888889   -0.24426523
  0.71111111   -0.21012860
  0.73333333   -0.17683520
  0.75555556   -0.14505545
  0.77777778   -0.11541274
  0.80000000   -0.08846465
  0.82222222   -0.06468318
  0.84444444   -0.04443440
  0.86666667   -0.02795726
  0.88888889   -0.01534167
  0.91111111   -0.00650597
  0.93333333   -0.00117359
  0.95555556    0.00115087
  0.97777778    0.00120624
  1.00000000    0.00000000
